City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
164,Hualmay,PE,-11.0964,-77.6139,65.8,68,8,12.41,clear sky
165,Lingao,CN,19.9103,109.6859,80.71,80,98,10.13,overcast clouds
166,Itamaraju,BR,-17.0392,-39.5311,67.89,84,0,4.36,clear sky
167,Den Helder,NL,52.9599,4.7593,60.96,73,100,13.0,overcast clouds
168,Erzin,TR,36.9559,36.2,73.18,84,0,2.86,clear sky
169,Zhigansk,RU,66.7697,123.3711,59.54,75,98,13.87,moderate rain
170,Upernavik,GL,72.7868,-56.1549,33.42,91,92,27.49,overcast clouds
171,Praia,CV,14.9215,-23.5087,75.74,78,20,13.8,few clouds
172,Port Hardy,CA,50.6996,-127.4199,54.0,89,100,4.5,overcast clouds
173,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.57,81,23,6.06,few clouds
174,Mbalmayo,CM,3.5167,11.5,67.48,99,100,3.58,moderate rain
175,Tiksi,RU,71.6872,128.8694,48.67,97,100,1.36,light rain
176,Genhe,CN,50.7833,121.5167,54.63,69,71,1.54,broken clouds
177,Nuuk,GL,64.1835,-51.7216,41.61,93,75,15.01,light rain
178,Zholymbet,KZ,51.7433,71.7122,62.96,67,24,3.13,few clouds
179,Birao,CF,10.2849,22.7882,77.02,72,89,7.34,overcast clouds
180,Nyahururu,KE,0.0421,36.3673,53.96,76,99,4.97,overcast clouds
181,Isangel,VU,-19.55,169.2667,74.97,89,100,14.07,light rain
182,Belgrade,RS,44.804,20.4651,66.42,62,0,4.61,clear sky
183,Beira,MZ,-19.8436,34.8389,62.69,94,0,5.75,clear sky
184,Cabo San Lucas,MX,22.8909,-109.9124,90.61,61,20,11.5,few clouds
185,Srandakan,ID,-7.9386,110.2506,75.09,92,60,3.27,broken clouds
186,Ulaangom,MN,49.9811,92.0667,58.17,57,35,1.63,scattered clouds
187,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,80,6,12.73,clear sky
188,Saint George,US,37.1041,-113.5841,93.63,11,0,40.29,haze
189,Hilo,US,19.7297,-155.09,80.33,77,100,11.5,overcast clouds
190,Riwaka,NZ,-41.0833,173.0,49.01,92,98,2.15,overcast clouds
191,Batemans Bay,AU,-35.7167,150.1833,51.1,92,15,5.91,few clouds
192,Butaritari,KI,3.0707,172.7902,81.16,80,27,12.66,light rain
193,Otjiwarongo,NA,-20.4637,16.6477,56.19,41,0,6.64,clear sky
194,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,70,40,32.21,scattered clouds
195,Iralaya,HN,15.0,-83.2333,83.57,73,95,9.71,overcast clouds
196,Kavaratti,IN,10.5669,72.642,81.81,72,100,11.88,overcast clouds
197,Wynyard,AU,-41.0,145.7167,50.11,89,22,12.28,few clouds
198,Portland,US,45.5234,-122.6762,63.66,79,75,5.01,broken clouds
199,Bayan,CN,46.0833,127.4,62.64,93,67,2.44,broken clouds
200,Ixtapa,MX,20.7,-105.2,83.43,70,75,12.66,broken clouds
201,Pinkafeld,AT,47.3667,16.1167,66.76,67,5,3.83,clear sky
202,Pacific Grove,US,36.6177,-121.9166,74.39,68,0,13.0,clear sky
203,Binzhou,CN,37.3667,118.0167,77.58,67,1,4.14,clear sky
204,Vicuna,CL,-30.0319,-70.7081,73.78,18,91,5.57,overcast clouds
205,Cidreira,BR,-30.1811,-50.2056,50.36,66,1,11.34,clear sky
206,Aleksandrov Gay,RU,50.147,48.5704,65.91,53,89,5.23,overcast clouds
207,Laguna,US,38.421,-121.4238,78.06,35,0,6.91,clear sky
208,Oktyabrskoye,RU,43.0645,44.7417,66.34,77,45,4.47,scattered clouds
209,Talnakh,RU,69.4865,88.3972,48.49,58,31,9.13,scattered clouds
210,Nalut,LY,30.3333,10.85,84.0,16,25,14.94,scattered clouds
211,Pevek,RU,69.7008,170.3133,35.26,83,100,3.96,overcast clouds
212,Plettenberg Bay,ZA,-34.0527,23.3716,54.07,86,10,7.9,light rain
213,Coihaique,CL,-45.5752,-72.0662,40.95,60,20,5.75,few clouds
214,Piacabucu,BR,-10.4056,-36.4344,75.24,87,12,4.03,few clouds
215,Lang Son,VN,21.8333,106.7333,75.85,92,94,3.6,overcast clouds
216,Hasaki,JP,35.7333,140.8333,68.4,92,100,5.57,overcast clouds
217,Bonavista,CA,48.6499,-53.1147,54.66,88,100,23.13,overcast clouds
218,Yate,GB,51.5407,-2.4184,51.08,94,100,1.01,moderate rain
219,Ibra,OM,22.6906,58.5334,81.07,76,0,3.8,clear sky
220,Niamey,NE,13.5137,2.1098,91.45,37,98,4.61,overcast clouds
221,Artyom,AZ,40.4723,50.333,69.94,70,0,11.01,clear sky
222,Shamary,RU,57.3434,58.2199,53.06,92,3,1.68,clear sky
223,Voyvozh,RU,62.892,54.9635,55.6,76,92,4.0,overcast clouds
224,Yeppoon,AU,-23.1333,150.7333,46.18,74,0,6.96,clear sky
225,Hamilton,US,39.1834,-84.5333,78.94,34,0,9.22,clear sky
226,Aripuana,BR,-9.1667,-60.6333,84.0,52,57,1.79,broken clouds
227,Codrington,AU,-38.2667,141.9667,43.65,93,52,9.35,broken clouds
228,Sorong,ID,-0.8833,131.25,76.44,87,100,5.97,overcast clouds
229,Qui Nhon,VN,13.7667,109.2333,80.56,77,38,4.29,scattered clouds
230,San Carlos,VE,9.6612,-68.5827,78.73,87,100,2.35,overcast clouds
231,Rognan,NO,67.0953,15.3878,50.14,84,100,4.38,light rain
232,Melfi,IT,40.9965,15.6514,60.67,57,26,4.23,scattered clouds
233,Goba,ET,7.0167,39.9833,48.47,87,5,4.92,clear sky
234,Grants Pass,US,42.439,-123.3284,66.18,53,100,8.05,overcast clouds
235,Vestmanna,FO,62.1564,-7.1664,47.32,87,100,43.73,light intensity drizzle
236,Rawson,AR,-43.3002,-65.1023,48.7,52,100,14.03,overcast clouds
237,Bacolod,PH,10.6667,122.95,78.53,84,61,2.66,broken clouds
238,Berbera,SO,10.4396,45.0143,91.27,43,86,14.09,overcast clouds
239,Iqaluit,CA,63.7506,-68.5145,42.28,49,6,2.3,clear sky
240,Kruisfontein,ZA,-34.0033,24.7314,54.88,92,35,4.85,scattered clouds
241,Sorland,NO,67.667,12.6934,48.06,88,100,2.89,overcast clouds
242,Vanimo,PG,-2.6741,141.3028,76.33,88,98,5.08,light rain
243,Ahipara,NZ,-35.1667,173.1667,61.02,86,93,3.38,overcast clouds
244,Utevka,RU,52.9035,50.9495,60.49,76,100,4.27,overcast clouds
245,Missoula,US,47.0166,-113.8009,57.6,89,95,5.75,overcast clouds
246,Dongsheng,CN,39.8161,109.9776,71.62,24,79,9.08,broken clouds
247,Kuah,MY,6.3265,99.8432,81.93,74,79,1.57,broken clouds
248,Faisalabad,PK,31.4167,73.0833,87.67,50,0,8.59,clear sky
249,Champerico,GT,14.3,-91.9167,82.63,74,100,4.63,overcast clouds
250,Porterville,US,36.0652,-119.0168,78.51,35,0,6.87,clear sky
251,Buala,SB,-8.145,159.5921,81.16,78,85,5.79,overcast clouds
252,Airai,TL,-8.9266,125.4092,58.01,93,77,3.85,broken clouds
253,Gunjur,GM,13.2019,-16.7339,78.64,81,79,16.13,broken clouds
254,Kaitangata,NZ,-46.2817,169.8464,46.27,91,100,8.21,overcast clouds
255,Belyy Yar,RU,53.6039,91.3903,55.29,82,0,6.71,clear sky
256,Ilulissat,GL,69.2167,-51.1,33.82,86,75,9.22,broken clouds
257,Bjornevatn,NO,69.6672,29.9847,41.34,87,75,5.75,broken clouds
258,Avera,US,33.194,-82.5271,96.85,21,35,8.28,scattered clouds
259,Kuytun,RU,54.3419,101.5036,54.45,79,100,3.62,overcast clouds
260,Ponta Do Sol,PT,32.6667,-17.1,71.71,82,24,7.27,few clouds
261,Talara,PE,-4.5772,-81.2719,72.36,68,0,17.27,clear sky
